datetime,symbol,open,high,low,close,volume
2024-11-22 08:30:00,AMEX:SPY,593.66,596.14,593.18,593.71,1186615.0
2024-11-22 09:30:00,AMEX:SPY,593.78,595.89,593.61,594.57,515942.0
2024-11-22 10:30:00,AMEX:SPY,594.64,595.88,593.92,595.61,394802.0
2024-11-22 11:30:00,AMEX:SPY,595.59,596.15,594.66,595.53,354793.0
2024-11-22 12:30:00,AMEX:SPY,595.53,595.97,594.15,594.99,419485.0
2024-11-22 13:30:00,AMEX:SPY,594.99,595.63,594.17,594.76,564387.0
2024-11-22 14:30:00,AMEX:SPY,594.7,596.09,594.67,595.49,940518.0
2024-11-25 08:30:00,AMEX:SPY,599.52,600.86,597.55,599.12,1838099.0
2024-11-25 09:30:00,AMEX:SPY,599.07,599.26,597.6,597.98,721993.0
2024-11-25 10:30:00,AMEX:SPY,597.97,598.38,595.75,596.04,717472.0
2024-11-25 11:30:00,AMEX:SPY,596.04,597.425,595.2,597.16,625206.0
2024-11-25 12:30:00,AMEX:SPY,597.18,597.61,596.49,596.99,445180.0
2024-11-25 13:30:00,AMEX:SPY,596.98,597.44,596.67,597.13,452184.0
2024-11-25 14:30:00,AMEX:SPY,597.13,597.75,596.85,597.44,1165348.0
2024-11-26 08:30:00,AMEX:SPY,598.8,599.6,598.07,598.78,1146270.0
2024-11-26 09:30:00,AMEX:SPY,598.82,599.6,598.22,599.56,454061.0
2024-11-26 10:30:00,AMEX:SPY,599.56,599.87,599.08,599.34,409928.0
2024-11-26 11:30:00,AMEX:SPY,599.35,600.14,599.3,599.89,320303.0
2024-11-26 12:30:00,AMEX:SPY,599.85,600.41,599.21,599.67,550843.0
2024-11-26 13:30:00,AMEX:SPY,599.67,600.45,599.51,600.39,734254.0
2024-11-26 14:30:00,AMEX:SPY,600.37,601.33,600.26,600.75,1892473.0
2024-11-27 08:30:00,AMEX:SPY,600.46,600.84,599.2,599.37,1061175.0
2024-11-27 09:30:00,AMEX:SPY,599.37,599.6,598.25,598.45,711918.0
2024-11-27 10:30:00,AMEX:SPY,598.42,599.15,597.28,598.22,605372.0
2024-11-27 11:30:00,AMEX:SPY,598.21,598.86,597.77,598.49,452738.0
2024-11-27 12:30:00,AMEX:SPY,598.46,599.12,598.36,598.71,424172.0
2024-11-27 13:30:00,AMEX:SPY,598.7,599.1,598.31,598.55,485571.0
2024-11-27 14:30:00,AMEX:SPY,598.54,598.98,597.93,598.74,797782.0
2024-11-29 08:30:00,AMEX:SPY,599.61,601.74,599.39,601.42,665246.0
2024-11-29 09:30:00,AMEX:SPY,601.42,602.38,601.41,602.32,528742.0
2024-11-29 10:30:00,AMEX:SPY,602.33,603.26,602.06,602.82,640342.0
2024-11-29 11:30:00,AMEX:SPY,602.83,603.35,602.31,602.45,1616070.0
2024-12-02 08:30:00,AMEX:SPY,602.98,603.65,602.47,603.22,844212.0
2024-12-02 09:30:00,AMEX:SPY,603.22,603.57,602.47,603.28,476549.0
2024-12-02 10:30:00,AMEX:SPY,603.27,603.96,603.2,603.46,428555.0
2024-12-02 11:30:00,AMEX:SPY,603.51,603.87,603.4,603.67,287516.0
2024-12-02 12:30:00,AMEX:SPY,603.66,603.83,603.05,603.41,411970.0
2024-12-02 13:30:00,AMEX:SPY,603.42,604.31,603.39,604.26,464748.0
2024-12-02 14:30:00,AMEX:SPY,604.26,604.27,603.45,603.66,944121.0
2024-12-03 08:30:00,AMEX:SPY,603.39,603.72,602.44,602.48,548755.0
2024-12-03 09:30:00,AMEX:SPY,602.49,603.46,602.35,603.42,479476.0
2024-12-03 10:30:00,AMEX:SPY,603.42,603.51,602.37,603.0,331285.0
2024-12-03 11:30:00,AMEX:SPY,602.99,603.85,602.94,603.56,296315.0
2024-12-03 12:30:00,AMEX:SPY,603.54,603.76,603.17,603.61,330165.0
2024-12-03 13:30:00,AMEX:SPY,603.6,604.17,603.6,603.94,485035.0
2024-12-03 14:30:00,AMEX:SPY,603.94,604.14,603.5,603.85,807551.0
2024-12-04 08:30:00,AMEX:SPY,605.64,606.2,604.95,605.63,1039683.0
2024-12-04 09:30:00,AMEX:SPY,605.68,606.5,605.54,606.33,440647.0
2024-12-04 10:30:00,AMEX:SPY,606.33,606.49,606.02,606.35,340189.0
2024-12-04 11:30:00,AMEX:SPY,606.35,606.54,605.84,605.87,238801.0
2024-12-04 12:30:00,AMEX:SPY,605.87,606.87,605.2,606.78,468674.0
2024-12-04 13:30:00,AMEX:SPY,606.78,607.52,606.66,607.31,623033.0
2024-12-04 14:30:00,AMEX:SPY,607.31,607.91,607.18,607.62,1491249.0
2024-12-05 08:30:00,AMEX:SPY,607.66,608.2,607.11,607.11,578139.0
2024-12-05 09:30:00,AMEX:SPY,607.11,607.71,606.81,607.63,429841.0
2024-12-05 10:30:00,AMEX:SPY,607.64,608.18,607.33,608.045,436234.0
2024-12-05 11:30:00,AMEX:SPY,608.04,608.48,606.87,607.25,402627.0
2024-12-05 12:30:00,AMEX:SPY,607.32,607.88,606.92,607.11,609293.0
2024-12-05 13:30:00,AMEX:SPY,607.07,607.5,606.62,606.75,483652.0
2024-12-05 14:30:00,AMEX:SPY,606.75,607.38,606.3,606.61,1140432.0
2024-12-06 08:30:00,AMEX:SPY,607.43,609.07,607.35,608.88,718414.0
2024-12-06 09:30:00,AMEX:SPY,608.87,608.98,607.56,607.99,359714.0
2024-12-06 10:30:00,AMEX:SPY,607.99,608.29,607.32,607.7,286471.0
2024-12-06 11:30:00,AMEX:SPY,607.7,608.38,607.07,608.07,301043.0
2024-12-06 12:30:00,AMEX:SPY,608.06,608.07,607.03,607.13,426402.0
2024-12-06 13:30:00,AMEX:SPY,607.13,607.75,607.02,607.62,455251.0
2024-12-06 14:30:00,AMEX:SPY,607.61,608.11,607.45,607.88,864682.0
2024-12-09 08:30:00,AMEX:SPY,607.69,607.86,606.18,606.38,630093.0
2024-12-09 09:30:00,AMEX:SPY,606.37,606.64,604.61,605.78,750288.0
2024-12-09 10:30:00,AMEX:SPY,605.78,606.13,605.27,605.6,339435.0
2024-12-09 11:30:00,AMEX:SPY,605.58,606.06,605.04,605.74,227833.0
2024-12-09 12:30:00,AMEX:SPY,605.72,606.44,605.25,605.36,403111.0
2024-12-09 13:30:00,AMEX:SPY,605.36,605.43,604.32,604.46,640777.0
2024-12-09 14:30:00,AMEX:SPY,604.46,604.79,604.08,604.63,1619428.0
2024-12-10 08:30:00,AMEX:SPY,605.37,605.51,604.28,605.12,603637.0
2024-12-10 09:30:00,AMEX:SPY,605.07,605.7,604.58,604.64,402597.0
2024-12-10 10:30:00,AMEX:SPY,604.66,604.78,604.18,604.52,356350.0
2024-12-10 11:30:00,AMEX:SPY,604.49,605.01,604.08,604.375,355953.0
2024-12-10 12:30:00,AMEX:SPY,604.37,604.62,603.58,604.02,461177.0
2024-12-10 13:30:00,AMEX:SPY,604.02,604.03,602.66,602.73,803980.0
2024-12-10 14:30:00,AMEX:SPY,602.72,602.92,602.14,602.88,1156294.0
2024-12-11 08:30:00,AMEX:SPY,605.78,607.23,605.5,606.55,998082.0
2024-12-11 09:30:00,AMEX:SPY,606.53,607.52,606.49,607.45,409601.0
2024-12-11 10:30:00,AMEX:SPY,607.47,608.19,607.36,607.72,439283.0
2024-12-11 11:30:00,AMEX:SPY,607.75,608.43,607.61,608.33,301219.0
2024-12-11 12:30:00,AMEX:SPY,608.33,608.4,607.56,607.93,378255.0
2024-12-11 13:30:00,AMEX:SPY,607.93,608.21,607.71,608.07,414063.0
2024-12-11 14:30:00,AMEX:SPY,608.065,608.065,607.31,607.51,599334.0
2024-12-12 08:30:00,AMEX:SPY,606.58,606.65,605.14,606.59,714785.0
2024-12-12 09:30:00,AMEX:SPY,606.56,607.16,606.32,606.87,306265.0
2024-12-12 10:30:00,AMEX:SPY,606.88,606.92,605.77,606.5,365094.0
2024-12-12 11:30:00,AMEX:SPY,606.49,606.95,605.87,606.5,327753.0
2024-12-12 12:30:00,AMEX:SPY,606.51,606.54,604.83,604.95,395453.0
2024-12-12 13:30:00,AMEX:SPY,604.95,605.45,604.75,604.88,470898.0
2024-12-12 14:30:00,AMEX:SPY,604.9,605.35,604.33,604.37,893218.0
2024-12-13 08:30:00,AMEX:SPY,606.4,607.13,604.93,605.029,802823.0
2024-12-13 09:30:00,AMEX:SPY,605.01,605.27,603.04,603.69,697100.0
2024-12-13 10:30:00,AMEX:SPY,603.66,604.66,603.12,603.24,444594.0
2024-12-13 11:30:00,AMEX:SPY,603.24,604.07,602.82,603.99,408499.0
2024-12-13 12:30:00,AMEX:SPY,603.97,604.53,603.69,604.38,379641.0
2024-12-13 13:30:00,AMEX:SPY,604.4,604.63,603.77,604.27,523742.0
2024-12-13 14:30:00,AMEX:SPY,604.26,604.7,604.1,604.26,738473.0
2024-12-16 08:30:00,AMEX:SPY,606.0,606.68,605.22,606.46,860309.0
2024-12-16 09:30:00,AMEX:SPY,606.45,607.1,606.35,606.72,445748.0
2024-12-16 10:30:00,AMEX:SPY,606.73,607.02,606.4,606.95,284230.0
2024-12-16 11:30:00,AMEX:SPY,606.95,607.72,606.87,607.71,354460.0
2024-12-16 12:30:00,AMEX:SPY,607.71,607.76,607.32,607.34,466918.0
2024-12-16 13:30:00,AMEX:SPY,607.35,607.78,607.29,607.59,585294.0
2024-12-16 14:30:00,AMEX:SPY,607.56,607.58,606.06,606.77,1595323.0
2024-12-17 08:30:00,AMEX:SPY,604.19,604.86,603.16,603.22,983199.0
2024-12-17 09:30:00,AMEX:SPY,603.18,605.11,603.17,604.39,884962.0
2024-12-17 10:30:00,AMEX:SPY,604.37,605.17,604.25,604.54,621363.0
2024-12-17 11:30:00,AMEX:SPY,604.55,604.97,604.02,604.22,462381.0
2024-12-17 12:30:00,AMEX:SPY,604.21,604.44,603.61,603.68,555590.0
2024-12-17 13:30:00,AMEX:SPY,603.67,603.73,602.89,603.09,948841.0
2024-12-17 14:30:00,AMEX:SPY,603.1,604.73,602.96,604.25,1469179.0
2024-12-18 08:30:00,AMEX:SPY,603.98,605.42,603.47,605.375,703373.0
2024-12-18 09:30:00,AMEX:SPY,605.41,606.4,604.64,605.62,586568.0
2024-12-18 10:30:00,AMEX:SPY,605.63,606.31,605.41,605.68,669954.0
2024-12-18 11:30:00,AMEX:SPY,605.68,605.94,605.2,605.22,370054.0
2024-12-18 12:30:00,AMEX:SPY,605.2,605.67,600.05,600.08,1412187.0
2024-12-18 13:30:00,AMEX:SPY,600.19,601.25,592.94,593.14,2618587.0
2024-12-18 14:30:00,AMEX:SPY,593.13,593.88,585.89,586.33,4356458.0
2024-12-19 08:30:00,AMEX:SPY,591.36,593.0,588.65,588.69,2510893.0
2024-12-19 09:30:00,AMEX:SPY,588.68,590.95,587.78,590.8,1775513.0
2024-12-19 10:30:00,AMEX:SPY,590.79,591.38,587.85,588.01,910450.0
2024-12-19 11:30:00,AMEX:SPY,588.03,589.73,587.28,589.64,1042628.0
2024-12-19 12:30:00,AMEX:SPY,589.63,591.26,588.83,589.22,825855.0
2024-12-19 13:30:00,AMEX:SPY,589.25,589.43,587.44,588.61,959786.0
2024-12-19 14:30:00,AMEX:SPY,588.63,589.21,585.88,586.16,2352844.0
2024-12-20 08:30:00,AMEX:SPY,581.77,587.09,580.91,586.98,2226344.0
2024-12-20 09:30:00,AMEX:SPY,586.98,592.34,586.92,592.34,1796324.0
